zone_key,season,baseline_mean,baseline_std,baseline_median,n_years
keffa,Belg,544.0363333333333,78.27949031089392,547.1600000000001,30
keffa,Kiremt,722.5939999999999,95.43942500621658,732.98,30
kelemwellega,Belg,419.9843333333334,87.30878992298595,402.32,30
kelemwellega,Kiremt,960.2046666666666,72.41870851505506,954.72,30
kemashi,Belg,210.069,66.69933848351069,205.16500000000002,30
kemashi,Kiremt,964.1613333333333,74.25412124790681,957.02,30
kembatatembaro,Belg,413.1166666666667,90.02655812490052,414.88,30
kembatatembaro,Kiremt,639.7096666666667,79.76972256323883,614.47,30
konso,Belg,372.69300000000004,89.78473137032476,352.71500000000003,30
konso,Kiremt,225.86266666666668,71.75460580835662,209.485,30
konta,Belg,599.4436666666667,110.42328041905722,602.61,30
konta,Kiremt,769.5593333333333,127.88403992877977,754.4300000000001,30
korahe,Belg,198.232,70.88393876734287,196.575,30
korahe,Kiremt,9.377333333333333,7.05034894383853,5.405,30
liben,Belg,222.46233333333333,60.01340141618561,218.41,30
liben,Kiremt,19.165000000000003,7.3684222566112565,17.64,30
majang,Belg,427.754,52.32968865264496,420.02,30
majang,Kiremt,845.3466666666667,94.07790474346004,860.48,30
mehakelegnaw,Belg,109.86466666666666,46.30070996203521,105.23,30
mehakelegnaw,Kiremt,611.6713333333333,82.20450540271953,605.12,30
metekel,Belg,167.811,48.91906964392911,163.43,30
metekel,Kiremt,959.8803333333333,59.06535769125082,961.54,30
miirabawi,Belg,100.08333333333333,35.026966787017834,96.945,30
miirabawi,Kiremt,1063.121,130.12292430621133,1036.415,30
mirabarsi,Belg,278.84766666666667,58.017169853553625,265.28499999999997,30
mirabarsi,Kiremt,544.1456666666667,53.80306533270575,549.2850000000001,30
mirabgojjam,Belg,208.057,80.62038106095625,196.535,30
mirabgojjam,Kiremt,1083.387,99.91176166135732,1056.685,30
mirabhararghe,Belg,305.27566666666667,83.1612318365638,297.77,30
mirabhararghe,Kiremt,446.366,82.0824661271653,426.28,30
mirabshewa,Belg,263.55,68.3227909165067,259.11,30
mirabshewa,Kiremt,850.7753333333333,104.12033845949378,875.4549999999999,30
mirabwelega,Belg,331.7486666666666,96.79511813471092,323.975,30
mirabwelega,Kiremt,1186.5356666666667,103.30599747864338,1167.9850000000001,30
misraqawi,Belg,165.48466666666667,63.646294728316114,147.23000000000002,30
misraqawi,Kiremt,350.3163333333333,75.1468056761785,349.995,30
misraqgojjam,Belg,246.95766666666665,72.40003346747814,234.73000000000002,30
misraqgojjam,Kiremt,929.56,112.35009368809688,930.96,30
misraqharerge,Belg,263.303,75.91049076333938,254.31,30
misraqharerge,Kiremt,316.2993333333333,54.21805946319016,305.07500000000005,30
misraqshewa,Belg,167.64966666666666,51.79723847540677,153.185,30
misraqshewa,Kiremt,624.164,104.26770695897535,640.585,30
misraqwellega,Belg,321.24666666666667,91.14470954565007,314.805,30
misraqwellega,Kiremt,1157.7886666666668,97.79975311065849,1143.33,30
