region,year,belg_total_mm,belg_antecedent_anom_z
sidama,2000,399.5105,-0.3367
sidama,2001,433.2924,0.1328
sidama,2002,407.3039,-0.2284
sidama,2003,388.1496,-0.4946
sidama,2004,371.7704,-0.7222
sidama,2005,494.4426,0.9826
sidama,2006,484.6708,0.8468
sidama,2007,474.8008,0.7097
sidama,2008,333.808,-1.2498
sidama,2009,309.875,-1.5824
sidama,2010,538.187,1.5906
sidama,2011,430.7068,0.0969
sidama,2012,362.4366,-0.8519
sidama,2013,395.313,-0.395
sidama,2014,490.2051,0.9237
sidama,2015,359.0297,-0.8993
sidama,2016,439.2202,0.2152
sidama,2017,394.8818,-0.401
sidama,2018,556.5277,1.8455
sidama,2019,494.649,0.9855
sidama,2020,466.3573,0.5923
sidama,2021,379.0585,-0.6209
sidama,2022,270.417,-2.1308
sidama,2023,535.0413,1.5469
snnpr,1981,562.6891,1.2778
snnpr,1982,331.4068,-1.3594
snnpr,1983,443.3088,-0.0834
snnpr,1984,343.7215,-1.219
snnpr,1985,512.559,0.7062
snnpr,1986,378.4153,-0.8234
snnpr,1987,559.6656,1.2434
snnpr,1988,355.1348,-1.0889
snnpr,1989,459.3647,0.0996
snnpr,1990,417.0082,-0.3833
snnpr,1991,401.6616,-0.5583
snnpr,1992,362.2,-1.0083
snnpr,1993,532.3439,0.9318
snnpr,1994,491.8441,0.47
snnpr,1995,443.5018,-0.0812
snnpr,1996,527.2228,0.8734
snnpr,1997,470.509,0.2267
snnpr,1998,390.5551,-0.685
snnpr,1999,349.7099,-1.1507
snnpr,2000,331.2246,-1.3615
snnpr,2001,504.178,0.6106
snnpr,2002,394.2556,-0.6428
snnpr,2003,401.3469,-0.5619
snnpr,2004,355.265,-1.0874
snnpr,2005,582.3355,1.5019
snnpr,2006,517.9615,0.7678
snnpr,2007,475.7774,0.2868
snnpr,2008,283.9278,-1.9008
snnpr,2009,305.4956,-1.6549
snnpr,2010,570.9808,1.3724
snnpr,2011,432.8392,-0.2028
snnpr,2012,404.8153,-0.5224
snnpr,2013,507.787,0.6518
snnpr,2014,587.2995,1.5585
snnpr,2015,415.7373,-0.3978
snnpr,2016,430.5193,-0.2293
snnpr,2017,380.7532,-0.7968
snnpr,2018,586.5594,1.55
snnpr,2019,565.6743,1.3119
snnpr,2020,514.4963,0.7283
snnpr,2021,457.4016,0.0773
snnpr,2022,309.4468,-1.6098
snnpr,2023,564.3386,1.2967
somali,1981,225.6983,0.5384
somali,1982,181.4958,-0.166
somali,1983,223.5175,0.5036
somali,1984,75.1395,-1.8607
somali,1985,308.4071,1.8563
somali,1986,247.9056,0.8922
somali,1987,364.1482,2.7445
somali,1988,276.5404,1.3485
somali,1989,268.6003,1.222
somali,1990,223.5207,0.5037
somali,1991,213.8527,0.3496
somali,1992,113.9642,-1.2421
somali,1993,194.9751,0.0488
somali,1994,225.3803,0.5333
somali,1995,277.9502,1.371
somali,1996,172.344,-0.3118
somali,1997,235.3244,0.6918
somali,1998,293.4536,1.618
somali,1999,119.3077,-1.1569
somali,2000,135.6741,-0.8961
somali,2001,117.3397,-1.1883
somali,2002,145.7459,-0.7356
somali,2003,162.4491,-0.4695
somali,2004,132.0861,-0.9533
somali,2005,185.3929,-0.1039
somali,2006,207.5644,0.2494
somali,2007,263.044,1.1335
somali,2008,141.0805,-0.81
somali,2009,144.5388,-0.7549
somali,2010,182.1986,-0.1548
somali,2011,121.1934,-1.1269
somali,2012,214.9616,0.3673
somali,2013,261.5333,1.1094
somali,2014,144.304,-0.7586
somali,2015,233.9484,0.6698
somali,2016,237.1847,0.7214
somali,2017,100.2509,-1.4606
somali,2018,346.1657,2.458
somali,2019,163.3194,-0.4556
somali,2020,270.8287,1.2575
somali,2021,250.292,0.9303
somali,2022,146.5323,-0.7231
somali,2023,234.5035,0.6787
south_west,1981,454.2178,-0.7074
south_west,1982,516.9656,0.3476
south_west,1983,487.2484,-0.152
south_west,1984,439.6999,-0.9515
south_west,1985,593.5088,1.6347
south_west,1986,392.0304,-1.753
south_west,1987,426.5086,-1.1733
south_west,1988,389.4354,-1.7967
south_west,1989,372.1986,-2.0865
south_west,1990,545.9816,0.8355
south_west,1991,495.0947,-0.0201
south_west,1992,409.5792,-1.458
south_west,1993,453.997,-0.7111
south_west,1994,539.3011,0.7232
south_west,1995,530.6777,0.5782
south_west,1996,590.9466,1.5916
south_west,1997,458.1067,-0.642
south_west,1998,481.2755,-0.2525
south_west,1999,426.8441,-1.1677
south_west,2000,457.6735,-0.6493
south_west,2001,469.5802,-0.4491
south_west,2002,452.9106,-0.7294
south_west,2003,396.9055,-1.6711
south_west,2004,456.2981,-0.6724
south_west,2005,461.6707,-0.5821
south_west,2006,561.5083,1.0966
south_west,2007,547.1777,0.8556
south_west,2008,423.2302,-1.2284
south_west,2009,498.4496,0.0363
south_west,2010,498.1675,0.0316
south_west,2011,566.6997,1.1839
south_west,2012,458.3796,-0.6374
south_west,2013,512.8478,0.2784
south_west,2014,595.8973,1.6748
south_west,2015,461.4699,-0.5855
south_west,2016,544.8196,0.816
south_west,2017,417.5083,-1.3247
south_west,2018,597.0331,1.6939
south_west,2019,545.2644,0.8235
south_west,2020,579.39,1.3973
south_west,2021,546.6637,0.847
south_west,2022,510.1808,0.2336
south_west,2023,594.1033,1.6447
tigray,1981,92.5539,-0.0958
tigray,1982,101.3389,0.1119
tigray,1983,86.0275,-0.2501
tigray,1984,51.667,-1.0623
tigray,1985,143.3844,1.1059
tigray,1986,54.2362,-1.0016
tigray,1987,148.7198,1.232
tigray,1988,49.7469,-1.1077
tigray,1989,73.9598,-0.5353
tigray,1990,59.7862,-0.8704
tigray,1991,93.7168,-0.0683
tigray,1992,78.4567,-0.429
tigray,1993,187.0451,2.138
tigray,1994,76.8427,-0.4672
tigray,1995,135.3182,0.9152
tigray,1996,206.63,2.601
tigray,1997,122.3929,0.6096
tigray,1998,107.1038,0.2482
tigray,1999,40.7557,-1.3203
tigray,2000,102.6662,0.1433
tigray,2001,55.1722,-0.9795
tigray,2002,51.6062,-1.0638
tigray,2003,47.3799,-1.1637
tigray,2004,45.9191,-1.1982
tigray,2005,87.0972,-0.2248
tigray,2006,106.1078,0.2246
tigray,2007,64.4489,-0.7602
tigray,2008,100.6753,0.0962
tigray,2009,45.8346,-1.2002
tigray,2010,80.6115,-0.3781
tigray,2011,114.929,0.4332
tigray,2012,66.0354,-0.7227
tigray,2013,60.8605,-0.845
tigray,2014,174.2168,1.8347
tigray,2015,100.9133,0.1018
tigray,2016,99.4241,0.0666
tigray,2017,120.3817,0.5621
tigray,2018,67.2762,-0.6933
tigray,2019,113.25,0.3935
tigray,2020,145.0814,1.146
tigray,2021,93.6024,-0.071
tigray,2022,60.5957,-0.8513
tigray,2023,89.3164,-0.1723
